STOP_FRISK_ID,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,SPRINT_NUMBER,RECORD_STATUS_CODE,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,SUPERVISING_ACTION_CORRESPONDING_ACTIVITY_LOG_ENTRY_REVIEWED,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_NUMBER,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_NUMBER,SUMMONS_OFFENSE_DESCRIPTION,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_CODE,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_APARTMENT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_PREMISES_NAME,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME
1,1/16/2017,14:26:00,2017,January,Monday,Based on Self Initiated,11617924,APP,SGT,574,SGT,574,Y,(null),P,PSB,10,TERRORISM,90,Y,(null),Y,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),CM,TERRORISM,39,MALE,(null),5.8,130,THN,BRO,BLK,(null),1,(null),(null),180 GREENWICH STREET,(null),GREENWICH STREET,982381,201750,(null),PBMS,MANHATTAN
2,1/16/2017,14:26:00,2017,January,Monday,Based on Self Initiated,11617924,APP,SGT,574,SGT,574,Y,(null),P,PSB,10,TERRORISM,90,Y,(null),Y,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),CM,TERRORISM,37,MALE,(null),5.8,140,MED,BRO,BLK,(null),1,(null),(null),180 GREENWICH STREET,(null),GREENWICH STREET,982381,201750,(null),PBMS,MANHATTAN
3,2/8/2017,11:10:00,2017,February,Wednesday,Based on C/W on Scene,17020808555,APP,POM,863,SGT,863,Y,S,T,Transit,1,OTHER,40,Y,(null),N,N,(null),(null),N,(null),(null),N,I,S,V,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),CM,OTHER,(null),FEMALE,WHITE,6.2,180,THN,BRO,BRO,N/A,1,C,(null),WALL STREET && BROADWAY,(null),WALL STREET,981005,197131,(null),PBMS,MANHATTAN
4,2/20/2017,11:35:00,2017,February,Monday,Based on Self Initiated,9027,APP,POM,1,SGT,1,Y,O,P,PSB,2,GRAND LARCENY AUTO,40,Y,(null),N,N,(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),CM,GRAND LARCENY AUTO,31,MALE,BLACK HISPANIC,5.1,190,U,BLU,BLD,UNK,1,H,(null),75 GREENE STREET,(null),GREENE STREET,984031,202796,(null),PBMS,MANHATTAN
5,2/21/2017,13:20:00,2017,February,Tuesday,Based on Radio Run,10439,APP,POM,1,SGT,1,Y,I,P,PSB,1,BURGLARY,60,Y,(null),Y,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,BURGLARY,(null),FEMALE,BLACK,5,100,THN,BLK,BLK,(null),1,H,2,429 WEST BROADWAY,(null),WEST BROADWAY,983894,203523,(null),PBMS,MANHATTAN
6,2/17/2017,21:25:00,2017,February,Friday,Based on C/W on Scene,22344,APP,POM,861,LT,1,Y,O,P,PSB,2,CPW,10,Y,(null),N,Y,M17610854,MENACING,N,(null),(null),Y,(null),(null),(null),Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),CM,CPW,39,MALE,WHITE HISPANIC,5.11,180,MED,BRO,BRO,(null),1,G,(null),WEST STREET && CHAMBERS STREET,(null),WEST STREET,1043002,213598,(null),PBMS,MANHATTAN
7,2/25/2017,20:00:00,2017,February,Saturday,Based on Radio Run,21097,APP,POM,861,SGT,861,Y,S,T,Transit,1958,CPW,3,Y,(null),Y,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),Y,Y,(null),(null),(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),CM,CPW,19,FEMALE,BLACK,5.5,115,THN,BLK,BLK,(null),1,G,(null),CHAMBERS STREET && WEST BROADWAY,(null),CHAMBERS STREET,981689,199960,(null),PBMS,MANHATTAN
8,2/25/2017,19:58:00,2017,February,Saturday,Based on Radio Run,21097,APP,POM,861,SGT,861,Y,S,T,Transit,1,CPW,3,Y,(null),Y,N,(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),Y,Y,(null),Y,(null),(null),Y,Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),DE,NORMAL,15,FEMALE,BLACK,5.4,110,THN,BRO,BRO,(null),1,G,(null),CHAMBERS STREET && WEST BROADWAY,(null),CHAMBERS STREET,981689,199960,(null),PBMS,MANHATTAN
9,2/21/2017,13:15:00,2017,February,Tuesday,Based on Radio Run,17022110439,APP,POM,1,SGT,1,Y,I,P,PSB,1,BURGLARY,20,Y,(null),Y,N,(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),(null),DE,PLEASANT,43,MALE,BLACK,6.2,250,HEA,BLK,BLD,(null),1,H,(null),429 WEST BROADWAY,(null),WEST BROADWAY,983894,203523,(null),PBMS,MANHATTAN
10,3/3/2017,8:16:00,2017,March,Friday,Based on C/W on Scene,5233,APP,POM,574,SGT,574,Y,O,P,PSB,0,CRIMINAL MISCHIEF,3,Y,(null),N,Y,(null),CRIMINAL POSSESSION OF CONTROLLED SUBSTANCE,N,(null),(null),Y,(null),(null),(null),Y,Y,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),DE,NERVOUS,33,MALE,BLACK,5.7,155,THN,BRO,BLK,(null),1,E,(null),CORTLANDT STREET && CHURCH STREET,(null),CORTLANDT STREET,981136,198083,(null),PBMS,MANHATTAN
11,3/16/2017,18:44:00,2017,March,Thursday,Based on C/W on Scene,17031619146,APP,POM,1,SGT,1,Y,I,P,PSB,1,ASSAULT,10,Y,(null),N,N,(null),(null),N,(null),(null),Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,CALM,31,MALE,BLACK,5.11,175,THN,BLK,XXX,(null),1,A,(null),111 FULTON STREET,(null),FULTON STREET,982367,197857,(null),PBMS,MANHATTAN
12,3/16/2017,22:30:00,2017,March,Thursday,Based on C/W on Scene,D17031623638,APP,POM,1,SGT,1,Y,O,P,PSB,1,ROBBERY,10,Y,(null),N,N,(null),(null),N,(null),(null),Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),CM,ROBBERY,47,MALE,WHITE HISPANIC,5.7,(null),THN,(null),(null),JACKET,1,B,(null),25 CLIFF STREET,(null),CLIFF STREET,982822,197316,(null),PBMS,MANHATTAN
13,3/31/2017,4:45:00,2017,March,Friday,Based on Radio Run,3304,APP,POM,861,SGT,861,Y,S,T,Transit,1,CPW,3,Y,(null),N,N,(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),CM,CPW,19,MALE,BLACK,6.1,170,THN,BRO,BLK,(null),1,I,(null),SPRING STREET && AVENUE OF THE AMERICAS,(null),SPRING STREET,983133,203600,(null),PBMS,MANHATTAN
14,4/2/2017,18:30:00,2017,April,Sunday,Based on Self Initiated,19551,APP,POM,574,SGT,574,Y,O,P,PSB,2,CRIMINAL MISCHIEF,10,Y,(null),Y,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),CM,CRIMINAL MISCHIEF,18,MALE,WHITE,6,180,MED,BRO,BRO,(null),1,E,(null),130 CEDAR STREET,(null),CEDAR STREET,980426,197985,(null),PBMS,MANHATTAN
15,4/2/2017,0:00:00,2017,April,Sunday,Based on Self Initiated,19551,APP,POM,574,SGT,574,Y,O,P,PSB,2,CRIMINAL MISCHIEF,10,Y,(null),Y,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),CM,CRIMINAL MISCHIEF,19,MALE,WHITE,5.1,180,MED,BRO,BRO,(null),1,E,(null),130 CEDAR STREET,(null),CEDAR STREET,980426,197985,(null),PBMS,MANHATTAN
16,4/4/2017,9:58:00,2017,April,Tuesday,Based on Radio Run,6922,APP,POM,574,SGT,574,Y,O,P,PSB,1,CPW,3,Y,(null),N,N,(null),(null),N,(null),(null),Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),DE,NERVOUS,47,MALE,WHITE HISPANIC,5.7,150,THN,BRO,BRO,(null),1,E,(null),225 LIBERTY STREET,(null),LIBERTY STREET,980070,198398,(null),PBMS,MANHATTAN
17,3/24/2017,11:15:00,2017,March,Friday,Based on C/W on Scene,N/A,APP,POM,574,SGT,574,Y,O,P,PSB,1,GRAND LARCENY,10,Y,(null),N,Y,M17618480,GRAND LARCENY,N,(null),(null),Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),DE,WORRIED,32,MALE,WHITE,5.11,195,HEA,BLK,BRO,(null),1,F,(null),BARCLAY STREET && WEST STREET,(null),BARCLAY STREET,980497,199580,(null),PBMS,MANHATTAN
18,4/6/2017,13:00:00,2017,April,Thursday,Based on Self Initiated,N/A,APP,POM,574,SGT,574,Y,O,P,PSB,2,TERRORISM,5,Y,(null),N,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),CM,TERRORISM,40,FEMALE,WHITE,5.4,142,MED,BLU,BRO,(null),1,E,(null),153 GREENWICH STREET,(null),GREENWICH STREET,982381,201750,(null),PBMS,MANHATTAN
19,4/18/2017,8:00:00,2017,April,Tuesday,Based on Radio Run,17041804574,APP,POM,861,SSA,861,Y,S,P,PSB,1,MURDER,5,Y,(null),N,N,(null),(null),N,(null),(null),Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),CM,MURDER,45,MALE,BLACK,6.3,250,MED,BRO,XXX,BEARD,1,D,(null),BATTERY PLACE && STATE STREET,(null),BATTERY PLACE,980295,195926,(null),PBMS,MANHATTAN
20,5/6/2017,14:57:00,2017,May,Saturday,Based on Radio Run,17050614486,APP,POM,5,SGT,5,Y,O,P,PSB,0,ROBBERY,6,Y,(null),N,Y,M17628306,ROBBERY,N,(null),(null),Y,(null),(null),(null),Y,Y,N,(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,Y,(null),(null),(null),Y,(null),(null),CM,ROBBERY,34,MALE,BLACK HISPANIC,5.7,150,MED,BRO,BRO,N/A,1,H,(null),MERCER STREET && BROOME STREET,(null),MERCER STREET,984068,202387,(null),PBMS,MANHATTAN
21,5/10/2017,4:15:00,2017,May,Wednesday,Based on Radio Run,2726,APP,POM,861,LT,861,Y,S,T,Transit,1,GRAND LARCENY,15,Y,(null),Y,N,(null),(null),N,(null),(null),N,(null),S,V,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),CM,GRAND LARCENY,41,MALE,WHITE HISPANIC,5.7,200,HEA,BRO,BLK,(null),1,G,(null),CHAMBERS STREET && WEST BROADWAY,(null),CHAMBERS STREET,981689,199960,(null),PBMS,MANHATTAN
22,5/17/2017,2:00:00,2017,May,Wednesday,Based on Radio Run,2243,APP,POM,6,SGT,6,Y,(null),P,PSB,1,ASSAULT,50,Y,(null),Y,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,CALM,26,MALE,WHITE,5.8,160,MED,BRO,BLK,(null),1,I,(null),WEST STREET && CANAL STREET,(null),WEST STREET,981195,203755,(null),PBMS,MANHATTAN
23,5/17/2017,2:20:00,2017,May,Wednesday,Based on Radio Run,2243,APP,POM,6,SGT,6,Y,(null),P,PSB,1,ASSAULT,50,Y,(null),Y,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,CALM,28,MALE,WHITE,5.6,150,THN,BRO,BLK,(null),1,I,(null),WEST STREET && CANAL STREET,(null),WEST STREET,981195,203755,(null),PBMS,MANHATTAN
24,5/7/2017,2:20:00,2017,May,Sunday,Based on Radio Run,2243,APP,POM,6,SGT,6,Y,(null),P,PSB,1,ASSAULT,50,Y,(null),Y,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,CALM,28,MALE,WHITE,5.1,200,MED,BRO,BLK,(null),1,I,(null),WEST STREET && CANAL STREET,(null),WEST STREET,981195,203755,(null),PBMS,MANHATTAN
25,5/17/2017,2:20:00,2017,May,Wednesday,Based on Radio Run,2243,APP,POM,6,SGT,6,Y,(null),P,PSB,1,ASSAULT,50,Y,(null),Y,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,CALM,34,MALE,WHITE,5.1,190,MED,BRO,BLK,(null),1,I,(null),WEST STREET && CANAL STREET,(null),WEST STREET,981195,203755,(null),PBMS,MANHATTAN
26,5/24/2017,10:20:00,2017,May,Wednesday,Based on Self Initiated,11798,APP,POM,863,SGT,863,Y,(null),T,Transit,5,CPW,10,Y,(null),N,N,(null),(null),N,(null),(null),N,I,(null),(null),N,N,N,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),CM,CPW,(null),MALE,WHITE,5.9,245,MED,MUL,GRY,UNKNOW,1,H,(null),BROADWAY && PRINCE STREET,(null),BROADWAY,984864,203135,(null),PBMS,MANHATTAN
27,6/8/2017,23:25:00,2017,June,Thursday,Based on Radio Run,76463,APP,POM,861,LT,861,Y,S,T,Transit,1,ASSAULT,5,Y,(null),N,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,CALM,37,MALE,BLACK,5.1,185,MED,BRO,BLK,(null),1,G,(null),WEST BROADWAY && AVENUE OF THE AMERICAS,(null),WEST BROADWAY,982806,201821,(null),PBMS,MANHATTAN
28,6/20/2017,16:12:00,2017,June,Tuesday,Based on Self Initiated,17188,APP,POF,1,SGT,1,Y,I,P,PSB,10,PETIT LARCENY,5,Y,(null),N,Y,M17637947,PETIT LARCENY,N,(null),(null),Y,(null),(null),(null),Y,Y,Y,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),CM,PETIT LARCENY,33,FEMALE,BLACK,5.5,215,(nu,(null),(null),(null),1,D,(null),3 SOUTH STREET,(null),SOUTH STREET,980829,194864,(null),PBMS,MANHATTAN
29,7/6/2017,21:58:00,2017,July,Thursday,Based on Radio Run,24186,APP,POM,1,SGT,1,Y,O,P,PSB,1,CPW,5,Y,(null),N,N,(null),(null),N,(null),(null),Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,VERY CALM,60,MALE,BLACK,5.1,180,THN,BRO,BLD,N/A,1,H,(null),64 THOMPSON STREET,(null),THOMPSON STREET,983385,203150,(null),PBMS,MANHATTAN
30,7/26/2017,13:15:00,2017,July,Wednesday,Based on Self Initiated,13583,APP,DT3,234,LT,234,Y,(null),P,PSB,1,ASSAULT,3,Y,(null),N,N,(null),(null),N,(null),(null),N,(null),S,V,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,"QUESTIONED THE REASONING OF STOP, EXPLAINED AND SH",33,MALE,BLACK,6.2,200,THN,BRO,BLK,DISCOL,1,H,(null),483 BROADWAY,(null),BROADWAY,984229,202154,(null),PBMS,MANHATTAN
31,8/30/2017,16:30:00,2017,August,Wednesday,Based on Self Initiated,20820,APP,SGT,861,LT,861,Y,S,T,Transit,1,THEFT OF SERVICES,1,Y,(null),N,N,(null),(null),N,(null),(null),N,(null),S,V,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,UPSET,30,MALE,BLACK,5.5,170,MED,BRO,BLK,(null),1,G,(null),WEST BROADWAY && CHAMBERS STREET,(null),WEST BROADWAY,981689,199960,(null),PBMS,MANHATTAN
32,8/30/2017,1:30:00,2017,August,Wednesday,Based on Radio Run,D17083100988,APP,POM,1,SGT,1,Y,O,P,PSB,3,ROBBERY,10,Y,(null),N,N,(null),(null),N,(null),(null),Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,ROBBERY,40,MALE,BLACK,5.4,130,THN,BRO,BLD,N/A,1,A,(null),FULTON STREET && BROADWAY,(null),FULTON STREET,981738,198272,(null),PBMS,MANHATTAN
33,9/6/2017,2:30:00,2017,September,Wednesday,Based on Radio Run,17090601777,APP,POM,1,SGT,1,Y,O,P,PSB,0,BURGLARY,37,Y,(null),Y,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),CM,BURGLARY,22,MALE,WHITE HISPANIC,5.1,150,MED,BRO,BLK,NONE,1,G,(null),JAY STREET && STAPLE STREET,(null),JAY STREET,981618,200862,(null),PBMS,MANHATTAN
34,9/6/2017,2:30:00,2017,September,Wednesday,Based on Radio Run,17090601777,APP,POM,1,SGT,1,Y,O,P,PSB,0,BURGLARY,37,Y,(null),Y,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),CM,BURGLARY,29,MALE,WHITE HISPANIC,5.8,150,MED,BRO,BLK,(null),1,G,(null),JAY STREET && STAPLE STREET,(null),JAY STREET,981618,200862,(null),PBMS,MANHATTAN
35,8/14/2017,23:28:00,2017,August,Monday,Based on Radio Run,5267,APP,POM,1,SGT,1,Y,(null),P,PSB,1,CPW,36,Y,(null),N,N,(null),(null),N,(null),(null),Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,IRRATE,58,MALE,WHITE,5.9,200,MED,BRO,WHI,BUTTON,1,G,(null),CHURCH STREET && DUANE STREET,(null),CHURCH STREET,982283,200134,(null),PBMS,MANHATTAN
36,9/22/2017,1:25:00,2017,September,Friday,Based on Radio Run,17092201318,APP,POM,1,SGT,1,Y,(null),P,PSB,0,ASSAULT,25,Y,(null),Y,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),CM,ASSAULT,19,MALE,BLACK,6.1,(null),THN,BRO,BLK,(null),1,G,(null),HUDSON STREET && LEONARD STREET,(null),HUDSON STREET,981825,201238,(null),PBMS,MANHATTAN
37,9/22/2017,1:25:00,2017,September,Friday,Based on Radio Run,17092201318,APP,POM,1,SGT,1,Y,O,P,PSB,0,ASSAULT,25,Y,(null),Y,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),CM,ASSAULT,20,MALE,BLACK,5.9,(null),THN,BRO,BLK,(null),1,G,(null),HUDSON STREET && LEONARD STREET,(null),HUDSON STREET,981825,201238,(null),PBMS,MANHATTAN
38,9/22/2017,1:25:00,2017,September,Friday,Based on Radio Run,17092201318,APP,POM,1,SGT,1,Y,(null),P,PSB,0,ASSAULT,25,Y,(null),Y,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),CM,ASSAULT,19,FEMALE,WHITE HISPANIC,5.5,(null),MED,BRO,BRO,(null),1,G,(null),HUDSON STREET && LEONARD STREET,(null),HUDSON STREET,981825,201238,(null),PBMS,MANHATTAN
39,9/22/2017,20:35:00,2017,September,Friday,Based on Radio Run,22641,APP,POM,1,SGT,1,Y,(null),P,PSB,0,ASSAULT,4,Y,(null),N,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),DE,CALM,29,MALE,BLACK,5.9,225,HEA,BRO,BLK,UNK,1,E,(null),BROADWAY && FULTON STREET,(null),BROADWAY,981738,198272,(null),PBMS,MANHATTAN
40,9/27/2017,8:25:00,2017,September,Wednesday,Based on Self Initiated,0,APP,POM,849,LT,849,Y,S,T,Transit,1,OTHER,10,Y,(null),N,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),CM,OTHER,27,MALE,WHITE,6.1,150,MED,BLU,BRO,(null),1,B,(null),NASSAU STREET && FULTON STREET,(null),NASSAU STREET,982103,198029,(null),PBMS,MANHATTAN
