STOP_FRISK_ID,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,SPRINT_NUMBER,RECORD_STATUS_CODE,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,SUPERVISING_ACTION_CORRESPONDING_ACTIVITY_LOG_ENTRY_REVIEWED,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_NUMBER,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_NUMBER,SUMMONS_OFFENSE_DESCRIPTION,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_CODE,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_APARTMENT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_PREMISES_NAME,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME
1359,6/4/2017,17:20:00,2017,June,Sunday,Based on Self Initiated,17060416948,APP,POM,805,SGT,805,Y,I,H,Housing,1,CRIMINAL TRESPASS,12,Y,(null),Y,Y,M17634661,CRIMINAL TRESPASS,N,(null),(null),Y,(null),(null),(null),Y,Y,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),CM,CRIMINAL TRESPASS,21,MALE,BLACK,5.8,150,THN,BLK,BLK,(null),23,D,4 FLOO,65 EAST 112 STREET,(null),EAST 112 STREET,999197,229710,(null),PBMN,MANHATTAN
1360,6/6/2017,19:31:00,2017,June,Tuesday,Based on Radio Run,20264,APP,POF,805,SSA,805,Y,O,P,PSB,1,ROBBERY,9,Y,(null),N,N,(null),(null),N,(null),(null),Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),CM,ROBBERY,19,MALE,BLACK,5.7,125,THN,BRO,BLK,(null),23,D,(null),300 EAST 115 STREET,(null),EAST 115 STREET,1001444,229335,(null),PBMN,MANHATTAN
1361,6/22/2017,0:00:00,2017,June,Thursday,Based on Self Initiated,2.02E+11,APP,POF,825,SGT,825,Y,I,H,Housing,1,CRIMINAL TRESPASS,5,Y,(null),N,Y,M17638303,CRIMINAL TRESPASS,N,(null),(null),Y,(null),(null),(null),N,Y,Y,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),CM,CRIMINAL TRESPASS,20,MALE,BLACK,5.11,160,THN,BRO,BRO,BLACK,23,D,(null),330 EAST 115 STREET,(null),EAST 115 STREET,1001582,229260,(null),PBMN,MANHATTAN
1362,6/24/2017,0:51:00,2017,June,Saturday,Based on Radio Run,17062400879,APP,POM,805,LT,805,Y,O,H,Housing,1,OTHER,2,Y,(null),N,N,(null),(null),N,(null),(null),Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,OTHER,22,MALE,BLACK,6,165,THN,BRO,BLK,GREY S,23,D,(null),310 EAST 113 STREET,(null),EAST 113 STREET,1001178,228894,(null),PBMN,MANHATTAN
1363,6/25/2017,2:15:00,2017,June,Sunday,Based on Radio Run,17062502738,APP,POM,805,LT,805,Y,O,H,Housing,1,ROBBERY,5,Y,(null),Y,Y,(null),ROBBERY,N,(null),(null),Y,(null),(null),(null),Y,Y,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),CM,ROBBERY,22,MALE,BLACK,5.1,140,THN,BRO,BLK,N/A,23,C,(null),MADISON AVENUE && EAST 99 STREET,(null),MADISON AVENUE,997336,226796,(null),PBMN,MANHATTAN
1364,6/25/2017,2:15:00,2017,June,Sunday,Based on Radio Run,17062502738,APP,POM,805,LT,805,Y,O,H,Housing,1,ROBBERY,5,Y,(null),Y,Y,(null),ROBBERY,N,(null),(null),Y,(null),(null),(null),Y,Y,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),CM,ROBBERY,23,MALE,BLACK,6.2,160,THN,BRO,BLK,N/A,23,C,(null),EAST 99 STREET && MADISON AVENUE,(null),EAST 99 STREET,997336,226796,(null),PBMN,MANHATTAN
1365,6/13/2017,18:29:00,2017,June,Tuesday,Based on C/W on Scene,D17061321776,APP,DTS,23,SGT,23,N,(null),P,PSB,1,PETIT LARCENY,3,Y,(null),Y,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,PETIT LARCENY,16,MALE,BLACK,5.6,145,THN,BRO,BLK,(null),23,A,(null),1 AVENUE && EAST 101 STREET,(null),1 AVENUE,1000202,225803,(null),PBMN,MANHATTAN
1366,6/13/2017,18:29:00,2017,June,Tuesday,Based on C/W on Scene,D17061321776,APP,DTS,23,SGT,23,Y,(null),P,PSB,1,PETIT LARCENY,3,Y,(null),Y,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,PETIT LARCENY,15,MALE,BLACK,5.5,140,THN,BRO,BLK,(null),23,A,(null),1 AVENUE && EAST 101 STREET,(null),1 AVENUE,1000202,225803,(null),PBMN,MANHATTAN
1367,6/23/2017,20:20:00,2017,June,Friday,Based on Radio Run,D17062325498,APP,POM,23,SGT,23,Y,O,P,PSB,5,PETIT LARCENY,5,Y,(null),N,N,(null),(null),N,(null),(null),N,(null),S,(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),CM,PETIT LARCENY,33,MALE,WHITE HISPANIC,5.6,170,MED,BRO,BLD,(null),23,A,(null),351 EAST 103 STREET,(null),EAST 103 STREET,1000136,226439,(null),PBMN,MANHATTAN
1368,6/29/2017,12:21:00,2017,June,Thursday,Based on Radio Run,17062910993,APP,POM,23,SGT,23,Y,O,P,PSB,2,CPW,2,Y,(null),N,N,(null),(null),N,(null),(null),Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),DE,QUESTIONABLE/CLAM,25,MALE,BLACK,5.9,150,MED,BLK,BLK,(null),23,D,(null),2180 1 AVENUE,(null),1 AVENUE,1001606,228329,(null),PBMN,MANHATTAN
